table_id,molecule,type_name,method,base,benchmark_metric,CORE,SAD,SADNO,GWH,HUCKEL,MODHUCKEL,SAP,SAPGAU,time,inchi,smi,organic,functional_group
6,t-hooo, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.6595204095944638,0.8982211620973416,0.9549341461798848,0.9104611022122348,0.9668818402228316,0.9664079004152196,0.954815918931881,0.96816461095205,0.1327431201934814,"InChI=1S/HO3/c1-3-2/h1H
","[O]OO	molecule ""t-hooo"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,(Fallback) Inorganic
6,ch2nh2, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.6250411956922496,0.9067999468144488,0.970595052191022,0.914843214174333,0.9775651785886492,0.9773934160642388,0.9711948108777316,0.9843034734688788,0.1606156826019287,"InChI=1S/CH4N/c1-2/h1-2H2
","[CH2]N	molecule ""ch2nh2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Amine
6,h2ccn, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.6392041185447148,0.8809662035672665,0.9599354459632194,0.9290734645311872,0.9604798822548128,0.960040618401552,0.9341294248708925,0.9903494137841934,0.1661481857299804,"InChI=1S/C2H2N/c1-2-3/h1H2
","[CH2]C#N	molecule ""h2ccn"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Nitrile
6,ch3, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.653785480509623,0.8944979859547044,0.9674433630457426,0.8989563511857608,0.9719077673292248,0.9720067286705976,0.966560318037672,0.9859428230306077,0.1592652797698974,"InChI=1S/CH3/h1H3
","[CH3]	molecule ""ch3"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,(Fallback) Organic
6,V(NMe2)4, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.5695459968494251,0.8982937279882868,0.9758977539369196,0.8958317750573609,0.9823420981105832,0.931536234813329,0.9608774031967988,0.9813161023102338,0.6843345165252686,"InChI=1S/4C2H6N.V/c4*1-3-2;/h4*1-2H3;/q4*-1;+4
","[V](N(C)C)(N(C)C)(N(C)C)N(C)C	molecule ""V(NMe2)4"" dataset ""Bühl 2006"" charge 0 multiplicity 2
",organometallic,Amine
6,clo, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.7804402170660212,0.950296500662188,0.9835827966247566,0.9061571288710858,0.987127323040594,0.9868255622379452,0.9558878504155124,0.9792136116178248,0.1207590103149414,"InChI=1S/ClO/c1-2
","Cl[O]	molecule ""clo"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,(Fallback) Inorganic
6,hcnh, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.6713573574883875,0.8953632330146156,0.9739106995378076,0.9374374991120116,0.9785322694378382,0.9778402109816908,0.986904751662568,0.9935854474928794,0.1305379867553711,"InChI=1S/CH2N/c1-2/h1-2H
","[CH]=N	molecule ""hcnh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,(Fallback) Organic
6,c-hooo, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.6424514073740409,0.90666394391666,0.9663221759431816,0.9008863125160278,0.9813523345226728,0.979875452233884,0.9894906819265944,0.9901461094280628,0.152259349822998,"InChI=1S/HO3/c1-3-2/h1H
","[O]OO	molecule ""c-hooo"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,(Fallback) Inorganic
6,sif, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8059860136503422,0.9296532565275968,0.9888944479831616,0.8828324327638706,0.995594794160027,0.9950742258361246,0.9952626835688212,0.9954038042423164,0.154552936553955,"InChI=1S/FSi/c1-2
","F[Si]	molecule ""sif"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",inorganic,(Fallback) Inorganic
6,n2h, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.6016830708476817,0.8860524302967899,0.9667299830443004,0.9566156267574448,0.9739169695447172,0.9720247954137112,0.9929118840187984,0.9934686398437852,0.1179745197296142,"InChI=1S/HN2/c1-2/h1H
","N=[N]	molecule ""n2h"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,(Fallback) Inorganic
6,ch2-trip, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.6960491377695537,0.9087759532046088,0.9713146445407856,0.9078949454653716,0.9721736925930938,0.9720518511717774,0.9821668307074978,0.9921946079998808,0.129542589187622,"InChI=1S/CH2/h1H2
","[CH2]	molecule ""ch2-trip"" dataset ""non-multireference W4-17"" charge 0 multiplicity 3
",organic,(Fallback) Organic
6,no2, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.6558024503042124,0.9225199330197066,0.9812285800405712,0.9548414818671443,0.9870608891742776,0.9859863098930182,0.9945409852739318,0.99673817664582,0.1556839942932129,"InChI=1S/NO2/c2-1-3
","N(=O)[O]	molecule ""no2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,(Fallback) Inorganic
6,h2no, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.6435266251030233,0.90995673034032,0.9665891055250206,0.9013482033914892,0.9722478678534856,0.9715545525021442,0.9864743848779266,0.989901896433803,0.1585571765899658,"InChI=1S/H2NO/c1-2/h1H2
","N[O]	molecule ""h2no"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Amine
6,nh2, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.5935423913205156,0.8634692333508587,0.8431615120573307,0.8644712622979142,0.9745446716806418,0.9723625372022688,0.9846058540304689,0.9915036273769748,0.1308274269104004,"InChI=1S/H2N/h1H2
","[NH2]	molecule ""nh2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,(Fallback) Inorganic
6,so, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.7658732063724282,0.9543042534532328,0.9882700382514604,0.8997830276825769,0.9940367464840252,0.9937554266707456,0.9860377458591546,0.9863873733786636,0.118948221206665,"InChI=1S/OS/c1-2
","S=O	molecule ""so"" dataset ""non-multireference W4-17"" charge 0 multiplicity 3
",organic,(Fallback) Inorganic
6,hco, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.687991428860063,0.909075114650109,0.9820739755113904,0.9227219328151722,0.9844779381334668,0.9838958537282256,0.9934618231991192,0.996373136725263,0.1212573051452636,"InChI=1S/CHO/c1-2/h1H
","O=[CH]	molecule ""hco"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,(Fallback) Organic
6,hoo, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.6473514395736238,0.9025294865073464,0.965916910423242,0.9325932392189438,0.9783958444084933,0.9771602252967286,0.994882560351782,0.993583143690846,0.1186535358428955,"InChI=1S/HO2/c1-2/h1H
","[O]O	molecule ""hoo"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,(Fallback) Inorganic
6,no, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.6894182156993551,0.9018015134787712,0.9834449450833644,0.945022092360842,0.9915783381714934,0.991066440998685,0.9953717941757364,0.9974506797457486,0.1172547340393066,"InChI=1S/NO/c1-2
","[N]=O	molecule ""no"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,(Fallback) Inorganic
6,ssh, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.785274897646307,0.9576669737478406,0.9847699238079036,0.9180253617683344,0.9896248917076428,0.9889988508526272,0.9973412509208855,0.9969442515706392,0.1217041015625,"InChI=1S/HS2/c1-2/h1H
","S[S]	molecule ""ssh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Thiol
6,oh, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.6500346433192827,0.8713407483328071,0.9785763231977648,0.9018586520792092,0.8590746826856483,0.8568338925708083,0.8719968767120114,0.9962688701267,0.1193451881408691,"InChI=1S/HO/h1H
","[OH]	molecule ""oh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,(Fallback) Inorganic
